File,Column,Data Value or Column Name Indication,Description of Data Value or Column Name
benchmark_prices_2023.csv,Scenario,Name of the Column,A set of projections based on certain parameters and assumptions about the future.
benchmark_prices_2023.csv,Scenario,Current Measures,Limited action in Canada to reduce GHG emissions beyond measures in place today and does not require that Canada achieve net-zero emissions
benchmark_prices_2023.csv,Scenario,Canada Net-zero,Canada achieves net-zero emissions by 2050 but rest of the world moves more slowly to reduce GHG emissions.
benchmark_prices_2023.csv,Scenario,Global Net-zero,"Canada achieves net-zero emissions by 2050 and the rest of the world reduces emissions enough to limit warming to 1.5°C, by 2050"
benchmark_prices_2023.csv,Variable,Name of the Column,Variable that the data refers to
benchmark_prices_2023.csv,Variable,Brent - 2022 US$/bbl,A key global crude oil benchmark price. It is a light sweet grade extracted from the North Sea.
benchmark_prices_2023.csv,Variable,Canadian Light Sweet (CLS) - 2022 US$/bbl,"A light, sweet blend of conventionally produced crude oils in western Canada with an API gravity of around 40 degrees. It is typically priced at Edmonton, Alberta and is often called Edmonton Par Crude."
benchmark_prices_2023.csv,Variable,Henry Hub - 2022 US$/MMBtu,Henry Hub is the pricing point for natural gas futures traded on the New York Mercantile Exchange. The hub is located in Louisiana at the interconnection of numerous natural gas pipelines.
benchmark_prices_2023.csv,Variable,Nova Inventory Transfer (NIT) - 2022 US$/MMBtu,"The Nova Inventory Transfer, or NIT, is the pricing point used for natural gas sourced from the Western Canadian Sedimentary Basin (WCSB). As the natural gas trading hub located in Alberta, NIT is the commercial mechanism that overlays the Nova Gas Transmission Ltd. (NGTL) pipeline network, and is connected to several export markets and storage. "
benchmark_prices_2023.csv,Variable,West Texas Intermediate (WTI) - 2022 US$/bbl,"A key North American benchmark crude oil price, it's a light sweet grade of crude oil produced in western Texas with an API gravity of 40 degrees."
benchmark_prices_2023.csv,Variable,Western Canadian Select (WCS) - 2022 US$/bbl,"A blend of Canadian heavy and bitumen sour crude oils mixed with sweet synthetic and condensates with an API gravity of about 21 degrees. It is priced at Hardisty, Alberta and is often used as a representative price for Canadian heavy crude oils."
benchmark_prices_2023.csv,Year,Name of the Column,Year that the data refers to
benchmark_prices_2023.csv,Year,4 digit integer number between 2005 and 2040,Year that the data refers to
benchmark_prices_2023.csv,Value,Name of the Column,Value for a given benchmark price
benchmark_prices_2023.csv,Value,Real Number,Value for a given benchmark price
butane_2023.csv,Scenario,Name of the Column,A set of projections based on certain parameters and assumptions about the future.
butane_2023.csv,Scenario,Canada Net-zero,Limited action in Canada to reduce GHG emissions beyond measures in place today and does not require that Canada achieve net-zero emissions
butane_2023.csv,Scenario,Current Measures,Canada achieves net-zero emissions by 2050 but rest of the world moves more slowly to reduce GHG emissions.
butane_2023.csv,Scenario,Global Net-zero,"Canada achieves net-zero emissions by 2050 and the rest of the world reduces emissions enough to limit warming to 1.5°C, by 2050"
butane_2023.csv,Unit,Name of the Column,Unit of measurement
butane_2023.csv,Unit,Thousand Barrels per day,Thousand barrels per day
butane_2023.csv,Unit,Thousand Cubic Meters per day,Thousand cubic meters per day
butane_2023.csv,Variable,Name of the Column,Variable that the data refers to
butane_2023.csv,Variable,Canada Other Demand,Other demand in Canada not covered by the other variables. 
butane_2023.csv,Variable,Diluent Demand,Diluent Demand
butane_2023.csv,Variable,Exports from AB to U.S.,Exports from AB to U.S.
butane_2023.csv,Variable,Exports from ON to U.S.,Exports from ON to U.S.
butane_2023.csv,Variable,Exports from ROC to U.S.,Exports from the rest of Canada (not AB or ON) to U.S.
butane_2023.csv,Variable,Exports from westcoast BC to International,Exports from westcoast BC to International
butane_2023.csv,Variable,Oil Sands Solvent Demand,Oil Sands Solvent Demand
butane_2023.csv,Variable,ON Petrochemical Demand,ON Petrochemical Demand
butane_2023.csv,Variable,Refinery Demand,Refinery demand
butane_2023.csv,Variable,Total Disposition,Total disposition
butane_2023.csv,Variable,Projected Exports,Projected Exports
butane_2023.csv,Variable,Imports to AB from U.S.,Imports to AB from U.S.
butane_2023.csv,Variable,Production from Gas Processing,Production from Gas Processing
butane_2023.csv,Variable,Production from Oil Sands off-gas,Production from Oil Sands off-gas
butane_2023.csv,Variable,Production from Refineries,Production from Refineries
butane_2023.csv,Variable,Total Supply,"Sum of all production sources, imports, stock variations and adjustments"
butane_2023.csv,Variable,AB Petrochemical Demand,AB Petrochemical Demand
butane_2023.csv,Variable,Total Supply - Total Disposition,The difference between total supply minus total disposition.
butane_2023.csv,Variable,Total Production,Sum of all domestic production
butane_2023.csv,Type,Name of the Column,Source or use
butane_2023.csv,Type,Demand,Demand
butane_2023.csv,Type,Supply,Supply
butane_2023.csv,Type,Balance (Adjustments),The difference between total supply minus total disposition.
butane_2023.csv,Year,Name of the Column,Year that the data refers to
butane_2023.csv,Year,4 digit integer number between 2005 and 2040,Year that the data refers to
butane_2023.csv,Value,Name of the Column,Volume of butane
butane_2023.csv,Value,Real Number,Volume of butane
crude_oil_production_2023.csv,Scenario,Name of the Column,A set of projections based on certain parameters and assumptions about the future.
crude_oil_production_2023.csv,Scenario,Canada Net-zero,Limited action in Canada to reduce GHG emissions beyond measures in place today and does not require that Canada achieve net-zero emissions
crude_oil_production_2023.csv,Scenario,Current Measures,Canada achieves net-zero emissions by 2050 but rest of the world moves more slowly to reduce GHG emissions.
crude_oil_production_2023.csv,Scenario,Global Net-zero,"Canada achieves net-zero emissions by 2050 and the rest of the world reduces emissions enough to limit warming to 1.5°C, by 2050"
crude_oil_production_2023.csv,Unit,Name of the Column,Unit of measurement
crude_oil_production_2023.csv,Unit,Thousand Barrels per day,Thousand barrels per day
crude_oil_production_2023.csv,Unit,Thousand Cubic Meters per day,Thousand cubic meters per day
crude_oil_production_2023.csv,Region,Name of the Column,"Province, territory, or Canadian total"
crude_oil_production_2023.csv,Region,Alberta,Province of Alberta
crude_oil_production_2023.csv,Region,Canada,Canada
crude_oil_production_2023.csv,Region,British Columbia,Province of British Columbia
crude_oil_production_2023.csv,Region,Nova Scotia,Province of Nova Scotia
crude_oil_production_2023.csv,Region,Saskatchewan,Province of Saskatchewan
crude_oil_production_2023.csv,Region,Manitoba,Province of Manitoba
crude_oil_production_2023.csv,Region,Newfoundland and Labrador,Province of Newfoundland and Labrador
crude_oil_production_2023.csv,Region,Northwest Territories,Northwest Territories
crude_oil_production_2023.csv,Region,Ontario,Province of Ontario
crude_oil_production_2023.csv,Variable,Name of the Column,Variable that the data refers to
crude_oil_production_2023.csv,Variable,(Upgraded Bitumen),Portion of raw bitumen production (in situ and mined) upgraded to synthetic crude oil
